id,url,FsF_A1_01M_1_earned,FsF_A1_01M_earned,FsF_A1_02MD_1_earned,FsF_A1_02MD_2_earned,FsF_A1_02MD_earned,FsF_A1_1_01MD_1_earned,FsF_A1_1_01MD_2_earned,FsF_A1_1_01MD_earned,FsF_A1_2_01MD_1_earned,FsF_A1_2_01MD_2_earned,FsF_A1_2_01MD_earned,FsF_F1_01MD_1_earned,FsF_F1_01MD_2_earned,FsF_F1_01MD_earned,FsF_F1_02MD_1_earned,FsF_F1_02MD_2_earned,FsF_F1_02MD_4_earned,FsF_F1_02MD_5_earned,FsF_F1_02MD_earned,FsF_F2_01M_2_earned,FsF_F2_01M_3_earned,FsF_F2_01M_earned,FsF_F3_01M_2_earned,FsF_F3_01M_earned,FsF_F4_01M_1_earned,FsF_F4_01M_earned,FsF_I1_01M_1_earned,FsF_I1_01M_2_earned,FsF_I1_01M_earned,FsF_I2_01M_2_earned,FsF_I2_01M_earned,FsF_I3_01M_1_earned,FsF_I3_01M_2_earned,FsF_I3_01M_earned,FsF_R1_01M_1_earned,FsF_R1_01M_2_earned,FsF_R1_01M_3_earned,FsF_R1_01M_earned,FsF_R1_1_01M_1_earned,FsF_R1_1_01M_earned,FsF_R1_2_01M_1_earned,FsF_R1_2_01M_2_earned,FsF_R1_2_01M_earned,FsF_R1_3_01M_1_earned,FsF_R1_3_01M_3_earned,FsF_R1_3_01M_earned,FsF_R1_3_02D_1_earned,FsF_R1_3_02D_earned,score_earned_A,score_earned_A1,score_earned_A1_1,score_earned_A1_2,score_earned_F,score_earned_F1,score_earned_F2,score_earned_F3,score_earned_F4,score_earned_FAIR,score_earned_I,score_earned_I1,score_earned_I2,score_earned_I3,score_earned_R,score_earned_R1,score_earned_R1_1,score_earned_R1_2,score_earned_R1_3
icane,https://lod-cloud.net/dataset/icane,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbpedia,https://lod-cloud.net/dataset/dbpedia,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbpedia-es,https://lod-cloud.net/dataset/dbpedia-es,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
geographic-names-information-system-gnis,https://lod-cloud.net/dataset/geographic-names-information-system-gnis,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
lod2-project-wiki,https://lod-cloud.net/dataset/lod2-project-wiki,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
open-data-thesaurus,https://lod-cloud.net/dataset/open-data-thesaurus,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
opencalais,https://lod-cloud.net/dataset/opencalais,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
foodpedia,https://lod-cloud.net/dataset/foodpedia,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
ispra-lod-place,https://lod-cloud.net/dataset/ispra-lod-place,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
linked-crunchbase,https://lod-cloud.net/dataset/linked-crunchbase,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
talis-openlibrary,https://lod-cloud.net/dataset/talis-openlibrary,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbpedia-el,https://lod-cloud.net/dataset/dbpedia-el,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
opencyc,https://lod-cloud.net/dataset/opencyc,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
yago,https://lod-cloud.net/dataset/yago,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
enipedia,https://lod-cloud.net/dataset/enipedia,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
Suface_Forestière_Mondiale_1990-2016,https://lod-cloud.net/dataset/Suface_Forestière_Mondiale_1990-2016,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,0,3.0,0,0,0,0,0,0,0,0,0
w3c,https://lod-cloud.net/dataset/w3c,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
meducator,https://lod-cloud.net/dataset/meducator,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
productontology,https://lod-cloud.net/dataset/productontology,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
influence-tracker-dataset,https://lod-cloud.net/dataset/influence-tracker-dataset,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
muninn-world-war-i,https://lod-cloud.net/dataset/muninn-world-war-i,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
nobelprizes,https://lod-cloud.net/dataset/nobelprizes,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
epa-rcra,https://lod-cloud.net/dataset/epa-rcra,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
epa-frs,https://lod-cloud.net/dataset/epa-frs,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
umbel,https://lod-cloud.net/dataset/umbel,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
museums-in-italy,https://lod-cloud.net/dataset/museums-in-italy,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
dbpedia-pt,https://lod-cloud.net/dataset/dbpedia-pt,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,1,1,1,1,1,0,0,0,10.0,4,2,2,0,2,1,0,0,1
